,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
132,0 days 00:00:26.076650,105,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
133,0 days 00:00:26.279759,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
134,0 days 00:00:26.482875,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
135,0 days 00:00:26.670361,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
136,0 days 00:00:26.873471,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
137,0 days 00:00:27.076587,105,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
138,0 days 00:00:27.264070,105,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
139,0 days 00:00:27.467183,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
140,0 days 00:00:27.670298,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
141,0 days 00:00:27.857758,105,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
142,0 days 00:00:28.060898,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
143,0 days 00:00:28.264010,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
144,0 days 00:00:28.451496,105,120,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
145,0 days 00:00:28.654609,105,120,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
146,0 days 00:00:28.857722,105,120,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
147,0 days 00:00:29.045206,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
148,0 days 00:00:29.248320,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
149,0 days 00:00:29.451433,106,121,122,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
150,0 days 00:00:29.638917,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
151,0 days 00:00:29.842032,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
152,0 days 00:00:30.029523,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
153,0 days 00:00:30.232630,105,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
154,0 days 00:00:30.435744,105,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
155,0 days 00:00:30.638843,106,121,121,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
156,0 days 00:00:30.826340,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
157,0 days 00:00:31.060703,106,121,122,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
158,0 days 00:00:31.216946,106,121,122,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
159,0 days 00:00:31.420057,106,121,121,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
160,0 days 00:00:31.623167,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
161,0 days 00:00:31.810658,105,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
162,0 days 00:00:32.013765,105,121,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
163,0 days 00:00:32.216878,105,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
164,0 days 00:00:32.406422,106,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
165,0 days 00:00:32.609500,106,121,122,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
166,0 days 00:00:32.797015,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
167,0 days 00:00:33.000129,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
168,0 days 00:00:33.203207,106,121,122,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
169,0 days 00:00:33.390706,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
170,0 days 00:00:33.593844,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
171,0 days 00:00:33.796919,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
172,0 days 00:00:33.984439,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
173,0 days 00:00:34.187519,106,121,122,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
174,0 days 00:00:34.390630,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
175,0 days 00:00:34.578149,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
176,0 days 00:00:34.781230,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
177,0 days 00:00:34.984343,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
178,0 days 00:00:35.171861,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
179,0 days 00:00:35.374942,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
180,0 days 00:00:35.578055,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
181,0 days 00:00:35.765576,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
182,0 days 00:00:35.968654,105,120,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
183,0 days 00:00:36.171765,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
184,0 days 00:00:36.359291,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
185,0 days 00:00:36.562365,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
186,0 days 00:00:36.749890,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
187,0 days 00:00:36.953003,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
188,0 days 00:00:37.156076,105,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
189,0 days 00:00:37.343601,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
190,0 days 00:00:37.546708,106,121,121,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
191,0 days 00:00:37.749789,106,121,121,109,106,132,135,134,135,255,255,255,255,255,255,255,255,255
192,0 days 00:00:37.937313,106,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
193,0 days 00:00:38.140425,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
194,0 days 00:00:38.343499,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
195,0 days 00:00:38.531020,106,121,121,109,106,132,135,134,135,255,255,255,255,255,255,255,255,255
196,0 days 00:00:38.734100,106,121,121,111,107,133,135,135,135,255,255,255,255,255,255,255,255,255
197,0 days 00:00:38.937211,106,121,121,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
198,0 days 00:00:39.124734,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
199,0 days 00:00:39.327815,106,121,121,109,106,132,135,134,135,255,255,255,255,255,255,255,255,255
200,0 days 00:00:39.530922,106,121,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
201,0 days 00:00:39.718448,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
202,0 days 00:00:39.921523,106,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
203,0 days 00:00:40.124634,106,121,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
204,0 days 00:00:40.312159,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
205,0 days 00:00:40.515234,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
206,0 days 00:00:40.702759,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
207,0 days 00:00:40.905870,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
208,0 days 00:00:41.108946,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
209,0 days 00:00:41.296470,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
210,0 days 00:00:41.499582,106,121,121,110,106,133,136,134,135,255,255,255,255,255,255,255,255,255
211,0 days 00:00:41.702657,105,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
212,0 days 00:00:41.890176,105,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
213,0 days 00:00:42.093295,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
214,0 days 00:00:42.296368,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
215,0 days 00:00:42.483896,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
216,0 days 00:00:42.687005,105,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
217,0 days 00:00:42.890081,105,120,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
218,0 days 00:00:43.077804,105,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
219,0 days 00:00:43.280913,105,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
220,0 days 00:00:43.484026,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
221,0 days 00:00:43.674907,106,121,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
222,0 days 00:00:43.878110,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
223,0 days 00:00:44.065603,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
224,0 days 00:00:44.268673,106,121,121,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
225,0 days 00:00:44.471821,106,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
226,0 days 00:00:44.659313,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
227,0 days 00:00:44.862422,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
228,0 days 00:00:45.065532,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
229,0 days 00:00:45.253025,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
230,0 days 00:00:45.456132,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
231,0 days 00:00:45.659244,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
232,0 days 00:00:45.846737,106,121,121,110,107,133,136,135,135,255,255,255,255,255,255,255,255,255
233,0 days 00:00:46.049844,106,120,121,109,106,132,135,134,135,255,255,255,255,255,255,255,255,255
234,0 days 00:00:46.237336,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
235,0 days 00:00:46.440448,106,121,121,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
236,0 days 00:00:46.643555,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
237,0 days 00:00:46.831050,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
238,0 days 00:00:47.034160,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
239,0 days 00:00:47.231784,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
240,0 days 00:00:47.434859,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
241,0 days 00:00:47.636671,106,121,122,111,107,133,136,135,135,255,255,255,255,255,255,255,255,255
242,0 days 00:00:47.825117,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
243,0 days 00:00:48.059473,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
244,0 days 00:00:48.215715,105,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
245,0 days 00:00:48.418785,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
