,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
210,0 days 00:00:41.533763,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
211,0 days 00:00:41.736890,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
212,0 days 00:00:41.940008,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
213,0 days 00:00:42.127513,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
214,0 days 00:00:42.330640,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
215,0 days 00:00:42.533759,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
216,0 days 00:00:42.721265,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
217,0 days 00:00:42.924346,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
218,0 days 00:00:43.127509,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
219,0 days 00:00:43.315014,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
220,0 days 00:00:43.518133,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
221,0 days 00:00:43.721258,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
222,0 days 00:00:43.908764,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
223,0 days 00:00:44.111845,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
224,0 days 00:00:44.315009,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
225,0 days 00:00:44.502513,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
226,0 days 00:00:44.705633,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
227,0 days 00:00:44.908758,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
228,0 days 00:00:45.096263,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
229,0 days 00:00:45.299383,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
230,0 days 00:00:45.502509,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
231,0 days 00:00:45.690013,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
232,0 days 00:00:45.893137,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
233,0 days 00:00:46.096258,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
234,0 days 00:00:46.283766,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
235,0 days 00:00:46.486844,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
