Unnamed: 0,battery_level,device,floor_calib,height,height_std,hum_in,hum_out,pressure,start_calib,temp,temp_in,temp_out,time,wake_reason,wifi_rssi
,70.4,ESP32-S2,73.0,142.59,14.56,99.9,54.01,,18.0,,18.3,18.7,2023-12-31 01:03:30.314858022+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,143.33,14.87,99.9,53.86,,18.0,,18.4,18.69,2023-12-31 01:07:28.336419970+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,144.2,15.29,99.9,53.98,,18.0,,18.3,18.68,2023-12-31 01:11:26.863165148+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,147.16,13.61,99.9,51.81,,18.0,,18.4,18.84,2023-12-31 01:15:24.843696479+00:00,timeout,-63.0
,72.4,ESP32-S2,73.0,147.28,13.39,99.9,51.73,,18.0,,18.3,18.64,2023-12-31 01:19:22.311959011+00:00,timeout,-63.0
,70.4,ESP32-S2,73.0,149.01,13.59,99.9,51.9,,18.0,,18.1,18.42,2023-12-31 01:23:20.689913207+00:00,timeout,-64.0
,70.4,ESP32-S2,73.0,148.64,13.13,99.9,52.04,,18.0,,17.9,18.24,2023-12-31 01:27:19.408830019+00:00,timeout,-64.0
,69.4,ESP32-S2,73.0,151.11,13.39,99.9,52.52,,18.0,,17.7,18.13,2023-12-31 01:31:17.070427327+00:00,timeout,-63.0
,71.4,ESP32-S2,73.0,151.23,13.33,99.9,52.38,,18.0,,17.6,18.03,2023-12-31 01:35:15.328024234+00:00,timeout,-64.0
,71.4,ESP32-S2,73.0,151.98,12.9,99.9,52.7,,18.0,,17.6,17.98,2023-12-31 01:39:13.643161511+00:00,timeout,-63.0
,70.4,ESP32-S2,73.0,153.09,13.31,99.9,52.89,,18.0,,17.4,17.95,2023-12-31 01:43:11.729625645+00:00,timeout,-63.0
,71.4,ESP32-S2,73.0,154.32,13.26,99.9,53.29,,18.0,,17.4,17.94,2023-12-31 01:47:10.217853337+00:00,timeout,-63.0
,68.4,ESP32-S2,73.0,154.44,13.24,99.9,53.38,,18.0,,17.4,17.93,2023-12-31 01:51:08.403097149+00:00,timeout,-63.0
,70.4,ESP32-S2,73.0,153.33,14.17,99.9,53.45,,18.0,,17.3,17.92,2023-12-31 01:55:06.489111697+00:00,timeout,-63.0
,71.4,ESP32-S2,73.0,156.05,13.4,99.9,53.45,,18.0,,17.3,17.9,2023-12-31 01:59:04.748313950+00:00,timeout,-63.0
,70.4,ESP32-S2,73.0,156.42,13.03,99.9,53.44,,18.0,,17.3,17.89,2023-12-31 02:03:02.363705285+00:00,timeout,-64.0
,67.4,ESP32-S2,73.0,157.78,13.81,99.9,53.69,,18.0,,17.2,17.86,2023-12-31 02:07:01.070583655+00:00,timeout,-63.0
,68.4,ESP32-S2,73.0,159.63,13.89,99.9,53.8,,18.0,,17.4,17.85,2023-12-31 02:10:59.224774088+00:00,timeout,-63.0
,69.4,ESP32-S2,73.0,160.0,13.39,99.9,54.02,,18.0,,17.2,17.84,2023-12-31 02:14:57.560240665+00:00,timeout,-63.0
,71.4,ESP32-S2,73.0,159.51,14.04,99.9,54.15,,18.0,,17.2,17.82,2023-12-31 02:18:55.596660569+00:00,timeout,-63.0
,72.4,ESP32-S2,73.0,160.99,13.75,99.9,54.43,,18.0,,17.3,17.8,2023-12-31 02:22:53.884747280+00:00,timeout,-64.0
,71.4,ESP32-S2,73.0,162.22,13.54,99.9,54.52,,18.0,,17.2,17.79,2023-12-31 02:26:51.975433713+00:00,timeout,-63.0
,67.4,ESP32-S2,73.0,162.96,13.42,99.9,54.42,,18.0,,17.2,17.77,2023-12-31 02:30:50.455343511+00:00,timeout,-63.0
,66.4,ESP32-S2,73.0,163.33,13.37,99.9,54.51,,18.0,,17.1,17.75,2023-12-31 02:34:48.135566905+00:00,timeout,-63.0
,68.4,ESP32-S2,73.0,164.2,13.08,99.9,54.72,,18.0,,17.1,17.73,2023-12-31 02:38:47.031494748+00:00,timeout,-63.0
,66.4,ESP32-S2,73.0,165.31,13.05,99.9,54.95,,18.0,,17.1,17.74,2023-12-31 02:42:45.011190875+00:00,timeout,-63.0
,71.4,ESP32-S2,73.0,166.17,13.18,99.9,55.08,,18.0,,17.1,17.77,2023-12-31 02:46:43.090111958+00:00,timeout,-63.0
,66.4,ESP32-S2,73.0,164.57,13.73,99.9,55.21,,18.0,,17.3,17.79,2023-12-31 02:50:41.274711169+00:00,timeout,-63.0
,70.4,ESP32-S2,73.0,166.54,12.84,99.9,55.14,,18.0,,17.2,17.82,2023-12-31 02:54:40.282175863+00:00,timeout,-63.0
,68.4,ESP32-S2,73.0,165.93,13.61,99.9,55.18,,18.0,,17.2,17.83,2023-12-31 02:58:37.616961176+00:00,timeout,-63.0
,66.4,ESP32-S2,73.0,170.12,13.73,99.9,55.33,,18.0,,17.3,17.84,2023-12-31 03:02:36.609679164+00:00,timeout,-63.0
,67.4,ESP32-S2,73.0,170.0,13.74,99.9,55.61,,18.0,,17.2,17.85,2023-12-31 03:06:33.711390097+00:00,timeout,-63.0
