time,battery_level
2024-01-01 00:08:20.688667793+00:00,52.4
2024-01-01 00:20:14.525394505+00:00,46.4
2024-01-01 00:32:08.126065565+00:00,51.4
2024-01-01 00:44:02.824320206+00:00,50.4
2024-01-01 00:55:56.549285008+00:00,52.4
2024-01-01 01:07:50.898217923+00:00,47.4
2024-01-01 01:19:44.635413133+00:00,53.4
2024-01-01 01:31:38.416938706+00:00,46.4
2024-01-01 01:43:31.696021586+00:00,52.4
2024-01-01 01:55:25.234309004+00:00,46.4
2024-01-01 02:07:18.445681936+00:00,51.4
2024-01-01 02:19:12.490849534+00:00,46.4
2024-01-01 02:31:06.222513315+00:00,52.4
2024-01-01 02:43:00.017513567+00:00,52.4
2024-01-01 02:54:53.901771207+00:00,50.4
2024-01-01 03:06:48.243363711+00:00,52.4
2024-01-01 03:18:41.161076475+00:00,44.4
2024-01-01 03:30:34.689993515+00:00,45.4
2024-01-01 03:42:28.322350433+00:00,44.4
2024-01-01 03:54:22.394575835+00:00,51.4
2024-01-01 04:06:15.823527403+00:00,52.4
2024-01-01 04:18:09.303233823+00:00,50.4
2024-01-01 04:30:03.366923723+00:00,48.4
2024-01-01 04:41:57.063716535+00:00,45.4
2024-01-01 04:53:50.833711621+00:00,51.4
2024-01-01 05:05:44.825486445+00:00,47.4
2024-01-01 05:17:38.404270938+00:00,44.4
2024-01-01 05:29:32.763640566+00:00,46.4
2024-01-01 05:41:25.977695958+00:00,43.4
2024-01-01 05:53:19.914286649+00:00,45.4
2024-01-01 06:05:13.755263158+00:00,49.4
2024-01-01 06:17:07.488251975+00:00,45.4
2024-01-01 06:29:01.528684766+00:00,51.4
2024-01-01 06:40:55.467749012+00:00,51.4
2024-01-01 06:52:48.691050749+00:00,47.4
2024-01-01 07:04:42.735737672+00:00,42.4
2024-01-01 07:16:36.364016727+00:00,42.4
2024-01-01 07:28:30.740590045+00:00,50.4
2024-01-01 07:40:24.754441633+00:00,50.4
2024-01-01 07:52:18.801680965+00:00,43.4
2024-01-01 08:04:12.750821181+00:00,50.4
2024-01-01 08:16:05.450655790+00:00,42.4
2024-01-01 08:27:58.777966994+00:00,49.4
2024-01-01 08:39:53.116204150+00:00,50.4
2024-01-01 08:51:47.162940793+00:00,43.4
